",""CS"",""res"",""nres"",""trial"",""rt"",""hrv"",""ID"""
"1104,""CS-"",""R1"",4,""27"",729,602.5,""05mo"""
"1143,""CS-"",""R2"",4,""28"",645,616,""05mo"""
"1153,""CS-"",""R1"",4,""29"",630,638,""05mo"""
"1173,""CS-"",""R1"",4,""30"",597,621,""05mo"""
"1223,""CS-"",""R1"",4,""31"",598,606,""05mo"""
"1283,""CS-"",""R2"",4,""32"",609,876,""05mo"""
"1314,""CS-"",""R1"",4,""33"",928,605,""05mo"""
"1323,""CS-"",""R2"",4,""34"",629,624,""05mo"""
"1383,""CS-"",""R2"",4,""35"",627,643,""05mo"""
"1415,""CS-"",""R2"",4,""36"",796,612,""05mo"""
"1453,""CS-"",""R2"",4,""37"",838,648,""05mo"""
"1523,""CS-"",""R1"",4,""38"",818,630,""05mo"""
"1583,""CS-"",""R1"",4,""39"",640,643,""05mo"""
"1593,""CS-"",""R2"",4,""40"",598,617,""05mo"""
"1614,""CS-"",""R2"",4,""41"",659,1028,""05mo"""
"1693,""CS-"",""R2"",4,""42"",669,632,""05mo"""
"1733,""CS-"",""R2"",4,""43"",723,627,""05mo"""
"1783,""CS-"",""R2"",4,""44"",704,627,""05mo"""
"1793,""CS-"",""R1"",4,""45"",923,623,""05mo"""
"1823,""CS-"",""R2"",4,""46"",826,984,""05mo"""
"1892,""CS-"",""R1"",4,""47"",657,625,""05mo"""
"1913,""CS-"",""R2"",4,""48"",586,626,""05mo"""
"1952,""CS-"",""R1"",4,""49"",651,702,""05mo"""
"1962,""CS-"",""R2"",4,""50"",626,619,""05mo"""
"1014,""CS1"",""R1"",4,""1"",630,642,""05mo"""
"1114,""CS1"",""R1"",4,""2"",550,648,""05mo"""
"1214,""CS1"",""R1"",4,""3"",576,606,""05mo"""
"1514,""CS1"",""R1"",4,""4"",547,647,""05mo"""
"1914,""CS1"",""R1"",4,""5"",555,621,""05mo"""
"243,""CS1"",""R1"",4,""6"",607,644,""05mo"""
"253,""CS1"",""R1"",4,""7"",642,599,""05mo"""
"293,""CS1"",""R1"",4,""8"",591,590,""05mo"""
"373,""CS1"",""R1"",4,""9"",591,602,""05mo"""
"403,""CS1"",""R1"",4,""10"",617,672,""05mo"""
"443,""CS1"",""R1"",4,""11"",663,632,""05mo"""
"453,""CS1"",""R1"",5,""12"",546,620,""05mo"""
"523,""CS1"",""R1"",3,""13"",654,603,""05mo"""
"543,""CS1"",""R1"",4,""14"",697,644,""05mo"""
"563,""CS1"",""R1"",4,""15"",588,604,""05mo"""
"653,""CS1"",""R1"",4,""16"",606,606,""05mo"""
"693,""CS1"",""R1"",4,""17"",649,605,""05mo"""
"703,""CS1"",""R1"",4,""18"",605,614,""05mo"""
"714,""CS1"",""R1"",4,""19"",652,625,""05mo"""
"763,""CS1"",""R1"",4,""20"",607,611,""05mo"""
"833,""CS1"",""R1"",4,""21"",707,598,""05mo"""
"853,""CS1"",""R1"",4,""22"",669,1076,""05mo"""
"863,""CS1"",""R1"",4,""23"",683,626,""05mo"""
"903,""CS1"",""R1"",4,""24"",594,1052,""05mo"""
"914,""CS1"",""R2"",3,""25"",707,804,""05mo"""
"933,""CS1"",""R1"",4,""26"",607,610,""05mo"""
"1003,""CS1"",""R1"",4,""27"",654,584,""05mo"""
